Image,Method,Time(sec),RMS,NRMS,GRR,C2G-SSIM,CCPR,CCFR,E-Score
Image22.jpg,luminance,0.0172,66.9114,0.1787,0.3331,0.9897,0.9396,0.7785,0.8515
Image22.jpg,cielab,0.2597,64.0071,0.1983,0.3325,0.9537,0.962,0.7784,0.8605
Image22.jpg,decolorize,0.3765,59.3786,0.2141,0.3186,0.8983,0.9652,0.764,0.8529
Image22.jpg,corrc2g,0.1225,59.7438,0.2326,0.322,0.8878,0.9697,0.7593,0.8517
Image22.jpg,color2gray,9.2044,58.7822,0.3106,0.3296,0.836,0.9282,0.7669,0.8399
Image23.jpg,average,0.0288,44.2463,0.1963,0.2916,0.9759,0.7576,0.9637,0.8483
Image23.jpg,luminance,0.0244,43.2732,0.1946,0.3393,0.9967,0.7379,0.9641,0.836
Image23.jpg,cielab,0.3525,40.1665,0.2065,0.3439,0.9945,0.7329,0.9679,0.8342
Image23.jpg,decolorize,0.5294,51.4658,0.2136,0.278,0.9348,0.8105,0.9585,0.8783
Image23.jpg,corrc2g,0.1797,53.7924,0.2181,0.2614,0.9108,0.82,0.9563,0.8829
Image23.jpg,color2gray,16.1826,51.652,0.3176,0.3545,0.8276,0.8011,0.9421,0.8659
Image24.jpg,average,0.0138,36.3095,0.0438,0.3219,0.9991,0.9621,0.9721,0.9671
Image24.jpg,luminance,0.0118,36.6094,0.0445,0.3294,0.9996,0.9628,0.9718,0.9673
Image24.jpg,cielab,0.158,34.7817,0.0458,0.3014,0.9989,0.9588,0.9736,0.9661
Image24.jpg,decolorize,0.2355,37.1516,0.0499,0.3688,0.9943,0.9663,0.9717,0.969
Image24.jpg,corrc2g,0.0777,36.1488,0.0514,0.2922,0.9959,0.9512,0.9716,0.9613
Image24.jpg,color2gray,3.3109,34.9251,0.0597,0.2975,0.9817,0.9295,0.9719,0.9502
Image25.jpg,average,0.0191,36.9789,0.6411,0.3077,0.9656,0.803,0.8851,0.842
Image25.jpg,luminance,0.0155,46.5444,0.7072,0.3503,0.998,0.7893,0.879,0.8317
Image25.jpg,cielab,0.2251,50.0041,0.7728,0.3687,0.9959,0.7914,0.8843,0.8353
Image25.jpg,decolorize,0.3561,60.331,0.8363,0.3863,0.9657,0.8181,0.8815,0.8486
Image25.jpg,corrc2g,0.1166,30.6647,0.5831,0.3801,0.8605,0.8722,0.8496,0.8608
Image25.jpg,color2gray,6.3726,65.6647,0.8573,0.38,0.8827,0.9337,0.8629,0.8969
Image26.jpg,average,0.0215,55.4055,0.3806,0.2973,0.9648,0.8472,0.8451,0.8461
Image26.jpg,luminance,0.0268,61.1929,0.3912,0.3103,0.9901,0.8319,0.8456,0.8387
Image26.jpg,cielab,0.2787,55.8207,0.4326,0.2878,0.9681,0.838,0.8593,0.8485
Image26.jpg,decolorize,0.413,89.112,0.5097,0.3513,0.7269,0.8571,0.8436,0.8503
Image26.jpg,corrc2g,0.1306,67.327,0.4267,0.3185,0.8953,0.8502,0.8452,0.8477
Image26.jpg,color2gray,8.1082,69.8156,0.4988,0.2836,0.8241,0.8964,0.861,0.8783
Image27.jpg,average,0.0257,53.9202,0.3881,0.3112,0.9896,0.8739,0.8688,0.8713
Image27.jpg,luminance,0.0182,54.7452,0.4155,0.3127,0.9967,0.8766,0.8666,0.8716
Image27.jpg,cielab,0.2728,54.6463,0.4682,0.3024,0.9808,0.8765,0.8719,0.8742
Image27.jpg,decolorize,0.3945,60.7803,0.3878,0.3169,0.8425,0.9076,0.8686,0.8877
